Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track,Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_3,top_5,top_10,Track
1,5,#2,Austin Cindric,Ford,45,201,21,running,Team Penske,,6,,122.4,1,1,1,1,1,13,#5,Kyle Larson,Chevrolet,52,200,28,running,Hendrick Motorsports,5,5,,116.3,1,1,1,2,1,13,#48,Alex Bowman,Chevrolet,50,274,16,running,Hendrick Motorsports,1,,,118.2,1,1,1,3,1,6,#14,Chase Briscoe,Ford,52,312,101,running,Stewart-Haas Racing,2,8,,128.7,1,1,1,4,1,12,#24,William Byron,Chevrolet,52,325,111,running,Hendrick Motorsports,1,9,,134.9,1,1,1,5,1,16,#1,Ross Chastain,Chevrolet,43,69,31,running,Trackhouse Racing,,8,,141.7,1,1,1,6,1,13,#11,Denny Hamlin,Toyota,40,400,5,running,Joe Gibbs Racing,,,,106.3,1,1,1,7,1,5,#24,William Byron,Chevrolet,58,403,212,running,Hendrick Motorsports,2,2,,144.9,1,1,1,8,1,11,#18,Kyle Busch,Toyota,52,250,1,running,Joe Gibbs Racing,5,5,,131.2,1,1,1,9,1,19,#1,Ross Chastain,Chevrolet,42,188,1,running,Trackhouse Racing,,9,,87.6,1,1,1,10,1,4,#9,Chase Elliott,Chevrolet,50,400,73,running,Hendrick Motorsports,2,10,,132.8,1,1,1,11,1,1,#22,Joey Logano,Ford,58,293,107,running,Team Penske,1,3,,138.5,1,1,1,12,1,5,#45,Kurt Busch,Toyota,50,267,116,running,23XI Racing,,1,,137.2,1,1,1,13,1,1,#11,Denny Hamlin,Toyota,42,413,15,running,Joe Gibbs Racing,10,,10,114.9,1,1,1,14,1,7,#22,Joey Logano,Ford,44,245,22,running,Team Penske,7,,,118.1,1,1,1,15,1,8,#99,Daniel Suarez,Chevrolet,47,110,47,running,Trackhouse Racing,,4,,137.5,1,1,1,16,1,4,#9,Chase Elliott,Chevrolet,50,300,42,running,Hendrick Motorsports,8,4,,122.3,1,1,1,17,1,4,#8,Tyler Reddick,Chevrolet,41,62,16,running,Richard Childress Racing,,10,,133,1,1,1,18,1,1,#9,Chase Elliott,Chevrolet,60,260,96,running,Hendrick Motorsports,1,1,,134.5,1,1,1,5,1,5,#20,Christopher Bell,Toyota,47,301,42,running,Joe Gibbs Racing,6,9,,115.9,1,1,1,20,1,3,#9,Chase Elliott,Chevrolet,53,160,0,running,Hendrick Motorsports,2,7,,104.7,1,1,1,21,1,1,#8,Tyler Reddick,Chevrolet,40,86,38,running,Richard Childress Racing,,,,144.2,1,1,1,22,1,16,#4,Kevin Harvick,Ford,43,200,38,running,Stewart-Haas Racing,8,,,123,1,1,1,23,1,13,#4,Kevin Harvick,Ford,47,400,55,running,Stewart-Haas Racing,,4,,120.6,1,1,1,7,1,2,#5,Kyle Larson,Chevrolet,43,90,5,running,Hendrick Motorsports,,8,,112,1,1,1,25,1,21,#3,Austin Dillon,Chevrolet,41,160,10,running,Richard Childress Racing,,10,,87.6,1,1,1,1,1,15,#43,Erik Jones,Chevrolet,45,367,23,running,Petty GMS Motorsports,8,9,,107.5,1,1,1,12,1,6,#45,Darrell Wallace Jr.,Toyota,53,267,58,running,23XI Racing,5,4,,125.9,1,1,1,13,1,20,#17,Chris Buescher,Ford,44,500,169,running,RFK Racing,7,,,133.3,1,1,1,29,1,4,#8,Tyler Reddick,Chevrolet,40,334,70,running,Richard Childress Racing,,,,130.1,1,1,1,30,1,16,#9,Chase Elliott,Chevrolet,58,188,10,running,Hendrick Motorsports,3,1,,116.7,1,1,1,10,1,8,#20,Christopher Bell,Toyota,40,112,2,running,Joe Gibbs Racing,,,,103.9,1,1,1,32,1,5,#22,Joey Logano,Ford,58,267,32,running,Team Penske,2,2,,130.6,1,1,1,3,1,5,#5,Kyle Larson,Chevrolet,60,267,199,running,Hendrick Motorsports,1,1,,150,1,1,1,34,1,20,#20,Christopher Bell,Toyota,51,500,150,running,Joe Gibbs Racing,6,5,,122.8,1,1,1,8,1,1,#22,Joey Logano,Ford,40,312,187,running,Team Penske,1,2,,143.8,1,1,1,4
2,16,#23,Darrell Wallace Jr.,Toyota,43,201,12,running,23XI Racing,,3,,104.7,1,1,1,1,2,16,#3,Austin Dillon,Chevrolet,35,200,0,running,Richard Childress Racing,,,,82.9,1,1,1,2,2,2,#5,Kyle Larson,Chevrolet,48,274,27,running,Hendrick Motorsports,6,3,,108.9,1,1,1,3,2,17,#1,Ross Chastain,Chevrolet,39,312,0,running,Trackhouse Racing,,7,,103.7,1,1,1,4,2,7,#1,Ross Chastain,Chevrolet,36,325,42,running,Trackhouse Racing,,10,,101.6,1,1,1,5,2,5,#48,Alex Bowman,Chevrolet,43,69,0,running,Hendrick Motorsports,3,,,112.3,1,1,1,6,2,7,#4,Kevin Harvick,Ford,40,400,0,running,Stewart-Haas Racing,10,7,,109.4,1,1,1,7,2,14,#22,Joey Logano,Ford,46,403,0,running,Team Penske,8,3,,116.9,1,1,1,8,2,3,#8,Tyler Reddick,Chevrolet,39,250,99,running,Richard Childress Racing,8,10,,132.3,1,1,1,9,2,14,#3,Austin Dillon,Chevrolet,35,188,0,running,Richard Childress Racing,,,,90.2,1,1,1,10,2,15,#47,Ricky Stenhouse Jr.,Chevrolet,41,400,0,running,JTG Daugherty Racing,,5,,102.8,1,1,1,11,2,10,#8,Tyler Reddick,Chevrolet,37,293,10,running,Richard Childress Racing,9,,,106.4,1,1,1,12,2,3,#5,Kyle Larson,Chevrolet,40,267,29,running,Hendrick Motorsports,,6,,117.9,1,1,1,13,2,4,#18,Kyle Busch,Toyota,35,413,36,running,Joe Gibbs Racing,,,,97,1,1,1,14,2,12,#18,Kyle Busch,Toyota,46,245,66,running,Joe Gibbs Racing,8,3,,135.4,1,1,1,15,2,3,#17,Chris Buescher,Ford,43,110,4,running,RFK Racing,,3,,128.1,1,1,1,16,2,19,#45,Kurt Busch,Toyota,42,300,3,running,23XI Racing,10,5,,102.1,1,1,1,17,2,1,#9,Chase Elliott,Chevrolet,38,62,36,running,Hendrick Motorsports,10,9,,144.7,1,1,1,18,2,2,#1,Ross Chastain,Chevrolet,45,260,32,running,Trackhouse Racing,3,9,,116,1,1,1,5,2,2,#9,Chase Elliott,Chevrolet,50,301,13,running,Hendrick Motorsports,4,3,,121.3,1,1,1,20,2,16,#8,Tyler Reddick,Chevrolet,35,160,0,running,Richard Childress Racing,,,,95.6,1,1,1,21,2,2,#2,Austin Cindric,Ford,35,86,0,running,Team Penske,,,,109.8,1,1,1,22,2,1,#23,Darrell Wallace Jr.,Toyota,35,200,22,running,23XI Racing,,,,118.4,1,1,1,23,2,21,#20,Christopher Bell,Toyota,35,400,0,running,Joe Gibbs Racing,,,,92.5,1,1,1,7,2,6,#16,A.J. Allmendinger,Chevrolet,0,90,0,running,Kaulig Racing,10,,,106.4,1,1,1,25,2,6,#8,Tyler Reddick,Chevrolet,39,160,13,running,Richard Childress Racing,,7,,97.2,1,1,1,1,2,11,#11,Denny Hamlin,Toyota,44,367,6,running,Joe Gibbs Racing,2,,,117.6,1,1,1,12,2,25,#11,Denny Hamlin,Toyota,40,267,0,running,Joe Gibbs Racing,,6,,100.3,1,1,1,13,2,23,#9,Chase Elliott,Chevrolet,42,500,0,running,Hendrick Motorsports,,4,,96.3,1,1,1,29,2,2,#22,Joey Logano,Ford,46,334,15,running,Team Penske,3,8,,111.6,1,1,1,30,2,19,#12,Ryan Blaney,Ford,45,188,31,running,Team Penske,1,,,101.2,1,1,1,10,2,22,#4,Kevin Harvick,Ford,35,112,4,running,Stewart-Haas Racing,,,,101,1,1,1,32,2,11,#1,Ross Chastain,Chevrolet,42,267,68,running,Trackhouse Racing,,4,,122.7,1,1,1,3,2,20,#1,Ross Chastain,Chevrolet,38,267,0,running,Trackhouse Racing,,8,,105.4,1,1,1,34,2,1,#5,Kyle Larson,Chevrolet,50,500,68,running,Hendrick Motorsports,4,3,,121.3,1,1,1,8,2,2,#12,Ryan Blaney,Ford,54,312,109,running,Team Penske,2,1,,128.3,1,1,1,4
3,9,#14,Chase Briscoe,Ford,34,201,0,running,Stewart-Haas Racing,,,,75,1,1,1,1,3,2,#43,Erik Jones,Chevrolet,52,200,18,running,Petty GMS Motorsports,2,2,,122.7,1,1,1,2,3,18,#1,Ross Chastain,Chevrolet,52,274,83,running,Trackhouse Racing,3,1,,128.3,1,1,1,3,3,12,#8,Tyler Reddick,Chevrolet,46,312,0,running,Richard Childress Racing,4,6,,107.7,1,1,1,4,3,9,#45,Kurt Busch,Toyota,39,325,4,running,23XI Racing,6,,,79.4,1,1,1,5,3,7,#20,Christopher Bell,Toyota,34,69,0,running,Joe Gibbs Racing,,,,90.5,1,1,1,6,3,2,#24,William Byron,Chevrolet,43,400,122,running,Hendrick Motorsports,2,,,114.7,1,1,1,7,3,23,#3,Austin Dillon,Chevrolet,39,403,1,running,Richard Childress Racing,,6,,105.1,1,1,1,8,3,10,#22,Joey Logano,Ford,42,250,0,running,Team Penske,7,7,,116.2,1,1,1,9,3,12,#18,Kyle Busch,Toyota,39,188,3,running,Joe Gibbs Racing,,6,,97.8,1,1,1,10,3,7,#1,Ross Chastain,Chevrolet,46,400,86,running,Trackhouse Racing,4,6,,125.2,1,1,1,11,3,29,#31,Justin Haley,Chevrolet,34,293,0,running,Kaulig Racing,,,,72.6,1,1,1,12,3,6,#18,Kyle Busch,Toyota,53,267,18,running,Joe Gibbs Racing,1,2,,124,1,1,1,13,3,18,#4,Kevin Harvick,Ford,38,413,0,running,Stewart-Haas Racing,,7,,73.8,1,1,1,14,3,11,#45,Kurt Busch,Toyota,44,245,12,running,23XI Racing,,1,,94.7,1,1,1,15,3,4,#34,Michael McDowell,Ford,37,110,0,running,Front Row Motorsports,,8,,114.8,1,1,1,16,3,6,#12,Ryan Blaney,Ford,44,300,1,running,Team Penske,3,9,,98.6,1,1,1,17,3,3,#5,Kyle Larson,Chevrolet,34,62,0,running,Hendrick Motorsports,,,,115.3,1,1,1,18,3,5,#2,Austin Cindric,Ford,34,260,7,running,Team Penske,,,,68.1,1,1,1,5,3,4,#23,Darrell Wallace Jr.,Toyota,44,301,0,running,23XI Racing,2,10,,106.9,1,1,1,20,3,9,#99,Daniel Suarez,Chevrolet,47,160,0,running,Trackhouse Racing,3,6,,99.7,1,1,1,21,3,13,#21,Harrison Burton,Ford,36,86,0,running,Wood Brothers Racing,9,,,69.2,1,1,1,22,3,9,#11,Denny Hamlin,Toyota,53,200,38,running,Joe Gibbs Racing,2,1,,128.6,1,1,1,23,3,18,#17,Chris Buescher,Ford,38,400,0,running,RFK Racing,,7,,104.7,1,1,1,7,3,20,#22,Joey Logano,Ford,49,90,15,running,Team Penske,6,1,,114,1,1,1,25,3,14,#2,Austin Cindric,Ford,34,160,13,running,Team Penske,,,,66.3,1,1,1,1,3,4,#8,Tyler Reddick,Chevrolet,38,367,0,running,Richard Childress Racing,7,,,99.9,1,1,1,12,3,4,#20,Christopher Bell,Toyota,53,267,12,running,Joe Gibbs Racing,1,2,,119.7,1,1,1,13,3,16,#24,William Byron,Chevrolet,40,500,0,running,Hendrick Motorsports,9,7,,99.3,1,1,1,29,3,31,#31,Justin Haley,Chevrolet,34,334,0,running,Kaulig Racing,,,,75.4,1,1,1,30,3,29,#34,Michael McDowell,Ford,34,188,0,running,Front Row Motorsports,,,,70.4,1,1,1,10,3,20,#18,Kyle Busch,Toyota,34,112,0,running,Joe Gibbs Racing,,,,86,1,1,1,32,3,18,#18,Kyle Busch,Toyota,35,267,0,running,Joe Gibbs Racing,,10,,101.5,1,1,1,3,3,10,#16,A.J. Allmendinger,Chevrolet,0,267,0,running,Kaulig Racing,6,,,101.8,1,1,1,34,3,4,#12,Ryan Blaney,Ford,43,500,0,running,Team Penske,7,6,,112.5,1,1,1,8,3,25,#1,Ross Chastain,Chevrolet,34,312,0,running,Trackhouse Racing,,,,98,1,1,1,4
4,7,#12,Ryan Blaney,Ford,33,201,36,running,Team Penske,,,,107.5,,1,1,1,4,15,#99,Daniel Suarez,Chevrolet,33,200,0,running,Trackhouse Racing,,,,86.2,,1,1,2,4,37,#18,Kyle Busch,Toyota,41,274,49,running,Joe Gibbs Racing,9,5,,106.1,,1,1,3,4,1,#12,Ryan Blaney,Ford,43,312,143,running,Team Penske,,1,,131.2,,1,1,4,4,13,#99,Daniel Suarez,Chevrolet,46,325,13,running,Trackhouse Racing,3,6,,101.8,,1,1,5,4,12,#9,Chase Elliott,Chevrolet,37,69,0,running,Hendrick Motorsports,7,,,97.7,,1,1,6,4,6,#19,Martin Truex Jr.,Toyota,50,400,80,running,Joe Gibbs Racing,4,1,,123.2,,1,1,7,4,12,#12,Ryan Blaney,Ford,44,403,5,running,Team Penske,7,4,,105.8,,1,1,8,4,5,#5,Kyle Larson,Chevrolet,48,250,27,running,Hendrick Motorsports,1,6,,136,,1,1,9,4,5,#5,Kyle Larson,Chevrolet,50,188,32,running,Hendrick Motorsports,2,3,,118,,1,1,10,4,17,#20,Christopher Bell,Toyota,41,400,0,running,Joe Gibbs Racing,3,,,91.5,,1,1,11,4,35,#4,Kevin Harvick,Ford,33,293,1,running,Stewart-Haas Racing,,,,84.1,,1,1,12,4,18,#11,Denny Hamlin,Toyota,36,267,0,running,Joe Gibbs Racing,,8,,93.6,,1,1,13,4,15,#14,Chase Briscoe,Ford,49,413,2,running,Stewart-Haas Racing,,4,2,104.2,,1,1,14,4,5,#12,Ryan Blaney,Ford,43,245,12,running,Team Penske,2,10,,118.2,,1,1,15,4,23,#4,Kevin Harvick,Ford,39,110,0,running,Stewart-Haas Racing,,5,,110.8,,1,1,16,4,3,#5,Kyle Larson,Chevrolet,43,300,0,running,Hendrick Motorsports,6,6,,98.2,,1,1,17,4,12,#1,Ross Chastain,Chevrolet,33,62,0,running,Trackhouse Racing,,,,111.5,,1,1,18,4,25,#43,Erik Jones,Chevrolet,33,260,10,running,Petty GMS Motorsports,,,,84.8,,1,1,5,4,1,#19,Martin Truex Jr.,Toyota,53,301,172,running,Joe Gibbs Racing,1,1,,136.9,,1,1,20,4,11,#20,Christopher Bell,Toyota,35,160,14,running,Joe Gibbs Racing,,9,,102.3,,1,1,21,4,9,#38,Todd Gilliland,Ford,38,86,4,running,Front Row Motorsports,6,,,89.6,,1,1,22,4,4,#22,Joey Logano,Ford,36,200,0,running,Team Penske,9,10,,100,,1,1,23,4,3,#11,Denny Hamlin,Toyota,50,400,22,running,Joe Gibbs Racing,2,3,,121.5,,1,1,7,4,1,#9,Chase Elliott,Chevrolet,40,90,29,running,Hendrick Motorsports,,4,,124.8,,1,1,25,4,35,#77,Landon Cassill,Chevrolet,0,160,0,running,Spire Motorsports,,,,65.2,,1,1,1,4,1,#22,Joey Logano,Ford,40,367,64,running,Team Penske,,4,,108.7,,1,1,12,4,3,#48,Alex Bowman,Chevrolet,43,267,107,running,Hendrick Motorsports,,1,,128.2,,1,1,13,4,8,#20,Christopher Bell,Toyota,52,500,143,running,Joe Gibbs Racing,2,1,,131,,1,1,29,4,14,#12,Ryan Blaney,Ford,43,334,29,running,Team Penske,,1,,104.7,,1,1,30,4,6,#1,Ross Chastain,Chevrolet,38,188,36,running,Trackhouse Racing,,6,,118.2,,1,1,10,4,7,#16,A.J. Allmendinger,Chevrolet,0,112,24,running,Kaulig Racing,10,4,,119,,1,1,32,4,16,#14,Chase Briscoe,Ford,33,267,6,running,Stewart-Haas Racing,,,,75.9,,1,1,3,4,32,#3,Austin Dillon,Chevrolet,39,267,0,running,Richard Childress Racing,5,,,89.9,,1,1,34,4,9,#1,Ross Chastain,Chevrolet,39,500,0,running,Trackhouse Racing,8,8,,91.7,,1,1,8,4,3,#14,Chase Briscoe,Ford,48,312,11,running,Stewart-Haas Racing,3,4,,115,,1,1,4
5,38,#10,Aric Almirola,Ford,32,201,0,running,Stewart-Haas Racing,,,,80.3,,1,1,1,5,7,#22,Joey Logano,Ford,44,200,14,running,Team Penske,7,3,,110.3,,1,1,2,5,14,#24,William Byron,Chevrolet,48,274,8,running,Hendrick Motorsports,2,4,,111.2,,1,1,3,5,15,#45,Kurt Busch,Toyota,32,312,0,running,23XI Racing,,,,80,,1,1,4,5,33,#7,Corey LaJoie,Chevrolet,32,325,0,running,Spire Motorsports,,,,73.6,,1,1,5,5,4,#8,Tyler Reddick,Chevrolet,32,69,2,running,Richard Childress Racing,,,,115.5,,1,1,6,5,21,#5,Kyle Larson,Chevrolet,34,400,0,running,Hendrick Motorsports,,9,,88.3,,1,1,7,5,27,#1,Ross Chastain,Chevrolet,32,403,0,running,Trackhouse Racing,,,,85.5,,1,1,8,5,25,#12,Ryan Blaney,Ford,36,250,0,running,Team Penske,9,9,,94.6,,1,1,9,5,2,#19,Martin Truex Jr.,Toyota,45,188,0,running,Joe Gibbs Racing,5,4,,103.5,,1,1,10,5,6,#48,Alex Bowman,Chevrolet,40,400,2,running,Hendrick Motorsports,,3,,109.1,,1,1,11,5,34,#9,Chase Elliott,Chevrolet,35,293,0,running,Hendrick Motorsports,,8,,88.3,,1,1,12,5,1,#20,Christopher Bell,Toyota,32,267,37,running,Joe Gibbs Racing,,,,109.4,,1,1,13,5,3,#20,Christopher Bell,Toyota,41,413,0,running,Joe Gibbs Racing,3,10,,98.4,,1,1,14,5,8,#10,Aric Almirola,Ford,43,245,0,running,Stewart-Haas Racing,6,5,,112.2,,1,1,15,5,25,#2,Austin Cindric,Ford,32,110,0,running,Team Penske,,,,94,,1,1,16,5,7,#1,Ross Chastain,Chevrolet,36,300,0,running,Trackhouse Racing,,7,,109.4,,1,1,17,5,17,#99,Daniel Suarez,Chevrolet,32,62,0,running,Trackhouse Racing,,,,101.3,,1,1,18,5,6,#12,Ryan Blaney,Ford,46,260,2,running,Team Penske,4,4,,110,,1,1,5,5,10,#4,Kevin Harvick,Ford,47,301,0,running,Stewart-Haas Racing,5,2,,114.3,,1,1,20,5,4,#5,Kyle Larson,Chevrolet,45,160,18,running,Hendrick Motorsports,1,8,,106.2,,1,1,21,5,19,#23,Darrell Wallace Jr.,Toyota,40,86,0,running,23XI Racing,,3,,81.5,,1,1,22,5,24,#12,Ryan Blaney,Ford,32,200,0,running,Team Penske,,,,85,,1,1,23,5,23,#9,Chase Elliott,Chevrolet,35,400,1,running,Hendrick Motorsports,,8,,101.4,,1,1,7,5,9,#99,Daniel Suarez,Chevrolet,40,90,0,running,Trackhouse Racing,3,,,105.2,,1,1,25,5,37,#62,Noah Gragson,Chevrolet,0,160,0,running,Beard Motorsports,,,,59.4,,1,1,1,5,2,#20,Christopher Bell,Toyota,44,367,0,running,Joe Gibbs Racing,4,6,,109.3,,1,1,12,5,12,#19,Martin Truex Jr.,Toyota,40,267,24,running,Joe Gibbs Racing,3,,,99.4,,1,1,13,5,5,#5,Kyle Larson,Chevrolet,40,500,34,running,Hendrick Motorsports,5,9,,117.4,,1,1,29,5,30,#14,Chase Briscoe,Ford,32,334,0,running,Stewart-Haas Racing,,,,67,,1,1,30,5,3,#11,Denny Hamlin,Toyota,41,188,20,running,Joe Gibbs Racing,2,,,87.1,,1,1,10,5,13,#31,Justin Haley,Chevrolet,32,112,0,running,Kaulig Racing,,,,103.5,,1,1,32,5,31,#11,Denny Hamlin,Toyota,38,267,5,running,Joe Gibbs Racing,,5,,93.4,,1,1,3,5,9,#6,Brad Keselowski,Ford,42,267,0,running,RFK Racing,7,5,,102.8,,1,1,34,5,11,#11,Denny Hamlin,Toyota,52,500,203,running,Joe Gibbs Racing,1,1,,126,,1,1,8,5,7,#4,Kevin Harvick,Ford,41,312,0,running,Stewart-Haas Racing,8,5,,106.9,,1,1,4
6,10,#18,Kyle Busch,Toyota,31,201,28,running,Joe Gibbs Racing,,,,101.4,,,1,1,6,31,#10,Aric Almirola,Ford,34,200,0,running,Stewart-Haas Racing,,8,,77,,,1,2,6,20,#10,Aric Almirola,Ford,31,274,0,running,Stewart-Haas Racing,,,,78.5,,,1,3,6,16,#4,Kevin Harvick,Ford,42,312,0,running,Stewart-Haas Racing,8,3,,111,,,1,4,6,6,#9,Chase Elliott,Chevrolet,40,325,29,running,Hendrick Motorsports,,2,,108.1,,,1,5,6,1,#12,Ryan Blaney,Ford,47,69,1,running,Team Penske,2,4,,107.9,,,1,6,6,9,#20,Christopher Bell,Toyota,44,400,63,running,Joe Gibbs Racing,7,2,,111.3,,,1,7,6,18,#45,Kurt Busch,Toyota,32,403,0,running,23XI Racing,10,,,95.9,,,1,8,6,8,#48,Alex Bowman,Chevrolet,36,250,0,running,Hendrick Motorsports,6,,,102.1,,,1,9,6,16,#43,Erik Jones,Chevrolet,37,188,25,running,Petty GMS Motorsports,8,8,,107.2,,,1,10,6,3,#5,Kyle Larson,Chevrolet,36,400,19,running,Hendrick Motorsports,6,,,99.6,,,1,11,6,3,#20,Christopher Bell,Toyota,43,293,3,running,Joe Gibbs Racing,3,7,,101.8,,,1,12,6,9,#19,Martin Truex Jr.,Toyota,36,267,0,running,Joe Gibbs Racing,6,,,99.9,,,1,13,6,8,#8,Tyler Reddick,Chevrolet,50,413,19,running,Richard Childress Racing,2,8,4,113.6,,,1,14,6,13,#19,Martin Truex Jr.,Toyota,40,245,42,running,Joe Gibbs Racing,,2,,106.7,,,1,15,6,14,#12,Ryan Blaney,Ford,32,110,0,running,Team Penske,,10,,100.2,,,1,16,6,1,#11,Denny Hamlin,Toyota,49,300,114,running,Joe Gibbs Racing,2,2,,131.2,,,1,17,6,7,#17,Chris Buescher,Ford,31,62,0,running,RFK Racing,,,,104.3,,,1,18,6,7,#99,Daniel Suarez,Chevrolet,31,260,0,running,Trackhouse Racing,,,,80.1,,,1,5,6,14,#11,Denny Hamlin,Toyota,32,301,0,running,Joe Gibbs Racing,10,,,91,,,1,20,6,25,#34,Michael McDowell,Ford,32,160,0,running,Front Row Motorsports,10,,,75.3,,,1,21,6,5,#22,Joey Logano,Ford,38,86,0,running,Team Penske,4,,,81.5,,,1,22,6,7,#19,Martin Truex Jr.,Toyota,38,200,0,running,Joe Gibbs Racing,4,,,99.8,,,1,23,6,17,#22,Joey Logano,Ford,45,400,222,running,Team Penske,7,1,,131.4,,,1,7,6,3,#34,Michael McDowell,Ford,42,90,14,running,Front Row Motorsports,8,3,,119.3,,,1,25,6,33,#51,Cody Ware,Ford,31,160,0,running,Rick Ware Racing,,,,50.6,,,1,1,6,10,#34,Michael McDowell,Ford,32,367,0,running,Front Row Motorsports,,10,,88.3,,,1,12,6,9,#24,William Byron,Chevrolet,39,267,9,running,Hendrick Motorsports,,3,,102.2,,,1,13,6,12,#1,Ross Chastain,Chevrolet,40,500,0,running,Trackhouse Racing,,2,,89.5,,,1,29,6,27,#43,Erik Jones,Chevrolet,31,334,1,running,Petty GMS Motorsports,,,,91.7,,,1,30,6,12,#43,Erik Jones,Chevrolet,38,188,23,running,Petty GMS Motorsports,10,5,,113.3,,,1,10,6,21,#17,Chris Buescher,Ford,31,112,0,running,RFK Racing,,,,75,,,1,32,6,1,#8,Tyler Reddick,Chevrolet,33,267,32,running,Richard Childress Racing,9,,,102.7,,,1,3,6,12,#19,Martin Truex Jr.,Toyota,48,267,28,running,Joe Gibbs Racing,3,2,,118.5,,,1,34,6,12,#22,Joey Logano,Ford,35,500,0,running,Team Penske,,7,,94.5,,,1,8,6,8,#24,William Byron,Chevrolet,39,312,0,running,Hendrick Motorsports,7,7,,108.1,,,1,4
